year,country_origin_id,country_destination_id,hs92_product_id,import_val,import_val_pct
2016,ARM,ALL,170230,740585,0.023%
2016,ARM,ALL,170250,49919,0.0016%
2016,ARM,ALL,170260,457,0.000014%
2016,ARM,ALL,170290,105636,0.0033%
2016,ARM,ALL,170390,729616,0.023%
2016,ARM,ALL,170410,387359,0.012%
2016,ARM,ALL,170490,10604581,0.33%
2016,ARM,ALL,180100,4818261,0.15%
2016,ARM,ALL,180200,1464,0.000046%
2016,ARM,ALL,180310,71333,0.0022%
2016,ARM,ALL,180400,6830,0.00021%
2016,ARM,ALL,180500,1189043,0.037%
2016,ARM,ALL,180610,56655,0.0018%
2016,ARM,ALL,180620,1294236,0.041%
2016,ARM,ALL,180631,9292400,0.29%
2016,ARM,ALL,180632,2693953,0.085%
2016,ARM,ALL,180690,23836680,0.75%
2016,ARM,ALL,190110,3448916,0.11%
2016,ARM,ALL,190120,204859,0.0064%
2016,ARM,ALL,190190,2953910,0.093%
2016,ARM,ALL,190211,27152,0.00085%
2016,ARM,ALL,190219,1312782,0.041%
2016,ARM,ALL,190220,14255,0.00045%
2016,ARM,ALL,190230,2827537,0.089%
2016,ARM,ALL,190240,1722,0.000054%
2016,ARM,ALL,190300,48,0.0000015%
2016,ARM,ALL,190410,641672,0.020%
2016,ARM,ALL,190490,165064,0.0052%
2016,ARM,ALL,190510,44330,0.0014%
2016,ARM,ALL,190520,31606,0.00099%
2016,ARM,ALL,190530,6989393,0.22%
2016,ARM,ALL,190540,236261,0.0074%
2016,ARM,ALL,190590,6393214,0.20%
2016,ARM,ALL,200110,461684,0.014%
2016,ARM,ALL,200190,184661,0.0058%
2016,ARM,ALL,200210,23894,0.00075%
2016,ARM,ALL,200290,276443,0.0087%
2016,ARM,ALL,200310,50165,0.0016%
2016,ARM,ALL,200410,425073,0.013%
2016,ARM,ALL,200490,2640,0.000083%
2016,ARM,ALL,200510,127667,0.0040%
2016,ARM,ALL,200520,1224272,0.038%
2016,ARM,ALL,200540,1490574,0.047%
2016,ARM,ALL,200551,20296,0.00064%
2016,ARM,ALL,200559,32988,0.0010%
2016,ARM,ALL,200560,1705,0.000053%
2016,ARM,ALL,200570,3001366,0.094%
2016,ARM,ALL,200580,797389,0.025%
2016,ARM,ALL,200590,357583,0.011%
2016,ARM,ALL,200600,45861,0.0014%
2016,ARM,ALL,200710,33464,0.0010%
2016,ARM,ALL,200791,58903,0.0018%
2016,ARM,ALL,200799,317798,0.010%
2016,ARM,ALL,200811,63266,0.0020%
2016,ARM,ALL,200819,2163549,0.068%
2016,ARM,ALL,200820,187886,0.0059%
2016,ARM,ALL,200830,646,0.000020%
2016,ARM,ALL,200840,1044,0.000033%
2016,ARM,ALL,200850,26530,0.00083%
2016,ARM,ALL,200860,5255,0.00016%
2016,ARM,ALL,200870,26520,0.00083%
2016,ARM,ALL,200880,76688,0.0024%
2016,ARM,ALL,200892,59044,0.0019%
2016,ARM,ALL,200899,145203,0.0046%
2016,ARM,ALL,200919,595524,0.019%
2016,ARM,ALL,200920,50943,0.0016%
2016,ARM,ALL,200930,30241,0.00095%
2016,ARM,ALL,200940,223330,0.0070%
2016,ARM,ALL,200950,70746,0.0022%
2016,ARM,ALL,200960,54428,0.0017%
