year,country_origin_id,country_destination_id,hs92_product_id,import_val,import_val_pct
2001,ARM,CZE,ALL,3718428.41,0.0079%
2001,ARM,DEU,ALL,39536337.27,0.084%
2001,ARM,DNK,ALL,1597505.91,0.0034%
2001,ARM,ESP,ALL,7133307.56,0.015%
2001,ARM,EST,ALL,356848.24,0.00076%
2001,ARM,FIN,ALL,1927468.93,0.0041%
2001,ARM,FRA,ALL,14499404.21,0.031%
2001,ARM,GBR,ALL,88697758.43,0.19%
2001,ARM,GIB,ALL,57075,0.00012%
2001,ARM,GRC,ALL,17099422.56,0.036%
2001,ARM,HRV,ALL,377758.71,0.00080%
2001,ARM,HUN,ALL,1966535.82,0.0042%
2001,ARM,IRL,ALL,407796.61,0.00086%
2001,ARM,ISL,ALL,94629.95,0.00020%
2001,ARM,ITA,ALL,33278870.22,0.070%
2001,ARM,LTU,ALL,4650073.16,0.0098%
2001,ARM,LVA,ALL,691146.86,0.0015%
2001,ARM,MDA,ALL,530594.19,0.0011%
2001,ARM,MKD,ALL,113564.99,0.00024%
2001,ARM,NLD,ALL,7877977.87,0.017%
2001,ARM,NOR,ALL,136741.18,0.00029%
2001,ARM,POL,ALL,2832611.91,0.0060%
2001,ARM,PRT,ALL,457965.63,0.00097%
2001,ARM,ROU,ALL,1560505.92,0.0033%
2001,ARM,RUS,ALL,94587772.34,0.20%
2001,ARM,SVK,ALL,1011819.72,0.0021%
2001,ARM,SVN,ALL,879017.46,0.0019%
2001,ARM,SWE,ALL,13305498.93,0.028%
2001,ARM,UKR,ALL,23874383.79,0.051%
2001,ARM,YUG,ALL,652457.78,0.0014%
2001,ARM,BHS,ALL,659343.84,0.0014%
2001,ARM,CAN,ALL,6751728.03,0.014%
2001,ARM,CUB,ALL,1705632.39,0.0036%
2001,ARM,DMA,ALL,131350.09,0.00028%
2001,ARM,DOM,ALL,235498.03,0.00050%
2001,ARM,MEX,ALL,22617,0.000048%
2001,ARM,PAN,ALL,18799012.61,0.040%
2001,ARM,USA,ALL,85145392.12,0.18%
2001,ARM,VGB,ALL,14971541.36,0.032%
2001,ARM,AUS,ALL,2729639.9,0.0058%
2001,ARM,WSM,ALL,6796,0.000014%
2001,ARM,ARG,ALL,49048.42,0.00010%
2001,ARM,BRA,ALL,2450055.8,0.0052%
2001,ARM,CHL,ALL,55382,0.00012%
2001,ARM,URY,ALL,19175.59,0.000041%
2002,ARM,EGY,ALL,156311.49,0.00033%
2002,ARM,GHA,ALL,84678.34,0.00018%
2002,ARM,TZA,ALL,328626,0.00070%
2002,ARM,ZAF,ALL,2424033.96,0.0051%
2002,ARM,ZWE,ALL,271004.35,0.00057%
2002,ARM,ARE,ALL,40450629.75,0.086%
2002,ARM,CHN,ALL,8137758.81,0.017%
2002,ARM,CYP,ALL,2374887.75,0.0050%
2002,ARM,GEO,ALL,24371404.04,0.052%
2002,ARM,HKG,ALL,2416709.7,0.0051%
2002,ARM,IDN,ALL,4550790.89,0.0096%
2002,ARM,IND,ALL,3912707.73,0.0083%
2002,ARM,IRN,ALL,63430111.54,0.13%
2002,ARM,ISR,ALL,82936467.9,0.18%
2002,ARM,JOR,ALL,9106,0.000019%
2002,ARM,JPN,ALL,744771.36,0.0016%
2002,ARM,KAZ,ALL,2734756.87,0.0058%
2002,ARM,KGZ,ALL,62127.63,0.00013%
2002,ARM,KOR,ALL,3130707.69,0.0066%
2002,ARM,LBN,ALL,1789379.06,0.0038%
2002,ARM,LKA,ALL,485010.05,0.0010%
2002,ARM,MYS,ALL,723807.95,0.0015%
2002,ARM,NPL,ALL,3014,0.0000064%
2002,ARM,OMN,ALL,69617,0.00015%
2002,ARM,PAK,ALL,120845,0.00026%
2002,ARM,PHL,ALL,3682,0.0000078%
2002,ARM,QAT,ALL,5552,0.000012%
2002,ARM,SGP,ALL,1363682.36,0.0029%
2002,ARM,SYR,ALL,335370.17,0.00071%
2002,ARM,THA,ALL,777835.92,0.0016%
2002,ARM,TKM,ALL,23409826.07,0.050%
2002,ARM,TUR,ALL,33142848.88,0.070%
2002,ARM,UZB,ALL,1180826.05,0.0025%
2002,ARM,VNM,ALL,3739795.1,0.0079%
2002,ARM,XXB,ALL,531466.32,0.0011%
