year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
2000,ARM,DZA,ALL,6327,0.000034%
2000,ARM,EGY,ALL,69809,0.00037%
2000,ARM,MOZ,ALL,9618.01,0.000051%
2000,ARM,SDN,ALL,1875,0.000010%
2000,ARM,ZAF,ALL,41475,0.00022%
2000,ARM,ZMB,ALL,11009,0.000059%
2000,ARM,ARE,ALL,5390225,0.029%
2000,ARM,CHN,ALL,1764655.78,0.0094%
2000,ARM,CYP,ALL,1634550.75,0.0087%
2000,ARM,GEO,ALL,6441641.12,0.034%
2000,ARM,HKG,ALL,45160,0.00024%
2000,ARM,IND,ALL,621360.13,0.0033%
2000,ARM,IRN,ALL,25503151.95,0.14%
2000,ARM,ISR,ALL,16292741.71,0.087%
2000,ARM,JOR,ALL,41847.12,0.00022%
2000,ARM,JPN,ALL,223454.98,0.0012%
2000,ARM,KAZ,ALL,1887031,0.010%
2000,ARM,KGZ,ALL,11816.32,0.000063%
2000,ARM,KOR,ALL,49477.75,0.00026%
2000,ARM,KWT,ALL,2063,0.000011%
2000,ARM,LBN,ALL,218387.02,0.0012%
2000,ARM,OMN,ALL,507571.53,0.0027%
2000,ARM,PAK,ALL,71886,0.00038%
2000,ARM,QAT,ALL,15565.55,0.000083%
2000,ARM,SAU,ALL,35473.2,0.00019%
2000,ARM,SGP,ALL,83381.7,0.00044%
2000,ARM,SYR,ALL,76956,0.00041%
2000,ARM,THA,ALL,8488,0.000045%
2000,ARM,TKM,ALL,3117974.14,0.017%
2000,ARM,TUR,ALL,1430278,0.0076%
2000,ARM,UZB,ALL,128370,0.00068%
2000,ARM,VNM,ALL,27271.04,0.00015%
2000,ARM,ALB,ALL,132339.39,0.00071%
2000,ARM,AUT,ALL,39028.26,0.00021%
2000,ARM,BGR,ALL,376453.73,0.0020%
2000,ARM,BLR,ALL,1399813.42,0.0075%
2000,ARM,BLX,ALL,76598877.95,0.41%
2000,ARM,CHE,ALL,14207884.97,0.076%
2000,ARM,CZE,ALL,120969.75,0.00065%
2000,ARM,DEU,ALL,24445025.6,0.13%
2000,ARM,ESP,ALL,194544.96,0.0010%
2000,ARM,EST,ALL,169663.9,0.00091%
2000,ARM,FIN,ALL,64478.76,0.00034%
2000,ARM,FRA,ALL,684363.84,0.0037%
2000,ARM,GBR,ALL,10334554.25,0.055%
2000,ARM,GRC,ALL,3427928.52,0.018%
2000,ARM,HUN,ALL,398667,0.0021%
2000,ARM,IRL,ALL,2214.75,0.000012%
2000,ARM,ITA,ALL,2935562.59,0.016%
2000,ARM,LTU,ALL,918306.34,0.0049%
2000,ARM,LVA,ALL,352073.64,0.0019%
2000,ARM,MDA,ALL,126241.62,0.00067%
2000,ARM,MKD,ALL,28537,0.00015%
2000,ARM,MLT,ALL,11291,0.000060%
2000,ARM,NLD,ALL,4327398.93,0.023%
2000,ARM,NOR,ALL,11676,0.000062%
2000,ARM,POL,ALL,33998,0.00018%
2000,ARM,PRT,ALL,8079,0.000043%
2000,ARM,ROU,ALL,399699,0.0021%
2000,ARM,RUS,ALL,43747548.72,0.23%
2000,ARM,SVK,ALL,5342.2,0.000029%
2000,ARM,SVN,ALL,9231,0.000049%
2000,ARM,SWE,ALL,124475.11,0.00066%
2000,ARM,UKR,ALL,3329442.97,0.018%
2000,ARM,YUG,ALL,268523,0.0014%
2000,ARM,BRB,ALL,2172,0.000012%
2000,ARM,CAN,ALL,1709018.19,0.0091%
2000,ARM,MEX,ALL,3132.22,0.000017%
2000,ARM,SLV,ALL,1777.14,0.0000095%
2000,ARM,USA,ALL,39504729.44,0.21%
2000,ARM,VGB,ALL,14064,0.000075%
2000,ARM,AUS,ALL,22205,0.00012%
2000,ARM,NZL,ALL,47365,0.00025%
2000,ARM,BOL,ALL,1270,0.0000068%
2000,ARM,BRA,ALL,103794,0.00055%
2000,ARM,CHL,ALL,1766,0.0000094%
2000,ARM,COL,ALL,21949.62,0.00012%
2000,ARM,VEN,ALL,99535.83,0.00053%
2001,ARM,CIV,ALL,8000,0.000043%
2001,ARM,EGY,ALL,27162,0.00014%
2001,ARM,MLI,ALL,46078.61,0.00025%
2001,ARM,ZAF,ALL,29806,0.00016%
2001,ARM,ARE,ALL,7235517,0.039%
2001,ARM,BHR,ALL,13541,0.000072%
2001,ARM,CHN,ALL,148660.94,0.00079%
2001,ARM,CYP,ALL,2663948.19,0.014%
2001,ARM,GEO,ALL,7620748.53,0.041%
2001,ARM,HKG,ALL,1092005.85,0.0058%
2001,ARM,IDN,ALL,16718.38,0.000089%
2001,ARM,IND,ALL,128598.69,0.00069%
2001,ARM,IRN,ALL,27121830.81,0.14%
2001,ARM,ISR,ALL,31982275.98,0.17%
2001,ARM,JOR,ALL,97016,0.00052%
