year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
2006,ARM,BEN,ALL,1124,0.0000074%
2006,ARM,COD,ALL,28000,0.00019%
2006,ARM,EGY,ALL,46176,0.00031%
2006,ARM,GHA,ALL,22356,0.00015%
2006,ARM,KEN,ALL,308182.5,0.0020%
2006,ARM,MAR,ALL,7000,0.000046%
2006,ARM,MLI,ALL,3378,0.000022%
2006,ARM,MOZ,ALL,24191.53,0.00016%
2006,ARM,NER,ALL,2526,0.000017%
2006,ARM,NGA,ALL,4535311.51,0.030%
2006,ARM,SDN,ALL,41078,0.00027%
2006,ARM,SEN,ALL,106588.76,0.00071%
2006,ARM,ZAF,ALL,540578,0.0036%
2006,ARM,AFG,ALL,54273,0.00036%
2006,ARM,ARE,ALL,5110905,0.034%
2006,ARM,BGD,ALL,3966,0.000026%
2006,ARM,CHN,ALL,8768572.26,0.058%
2006,ARM,CYP,ALL,109475.16,0.00072%
2006,ARM,GEO,ALL,42998542.7,0.28%
2006,ARM,HKG,ALL,337854.53,0.0022%
2006,ARM,IDN,ALL,12476.63,0.000083%
2006,ARM,IND,ALL,70760584.62,0.47%
2006,ARM,IRN,ALL,18790771,0.12%
2006,ARM,IRQ,ALL,411152,0.0027%
2006,ARM,ISR,ALL,101948304.06,0.67%
2006,ARM,JOR,ALL,92000,0.00061%
2006,ARM,JPN,ALL,486628.89,0.0032%
2006,ARM,KAZ,ALL,5191923.03,0.034%
2006,ARM,KGZ,ALL,157578.47,0.0010%
2006,ARM,KOR,ALL,4417429.61,0.029%
2006,ARM,KWT,ALL,36642.48,0.00024%
2006,ARM,LBN,ALL,235586.65,0.0016%
2006,ARM,LKA,ALL,40193.06,0.00027%
2006,ARM,MAC,ALL,96813,0.00064%
2006,ARM,MYS,ALL,260236,0.0017%
2006,ARM,PAK,ALL,2372925.42,0.016%
2006,ARM,PHL,ALL,338898.44,0.0022%
2006,ARM,SAU,ALL,13172,0.000087%
2006,ARM,SYR,ALL,255381.95,0.0017%
2006,ARM,THA,ALL,1267760.72,0.0084%
2006,ARM,TJK,ALL,242091,0.0016%
2006,ARM,TKM,ALL,1657787,0.011%
2006,ARM,TUR,ALL,271597.32,0.0018%
2006,ARM,UZB,ALL,1101199,0.0073%
2006,ARM,VNM,ALL,321616.67,0.0021%
2006,ARM,XXB,ALL,81992,0.00054%
2006,ARM,YEM,ALL,64833784.05,0.43%
2006,ARM,AUT,ALL,6111849.44,0.040%
2006,ARM,BGR,ALL,16700601.86,0.11%
2006,ARM,BIH,ALL,14534,0.000096%
2006,ARM,BLR,ALL,3984292.74,0.026%
2006,ARM,BLX,ALL,112785047.75,0.75%
2006,ARM,CHE,ALL,64300505.84,0.43%
2006,ARM,CZE,ALL,4713955,0.031%
2006,ARM,DEU,ALL,148357038.58,0.98%
2006,ARM,DNK,ALL,34620.33,0.00023%
