year,country_destination_id,import_val
2002,MLT,28974
2002,NLD,10946964.88
2002,NOR,504044.66
2002,POL,2842970.47
2002,PRT,790864.29
2002,ROU,6698208.24
2002,RUS,177983327.9
2002,SVK,3523604.44
2002,SVN,895563.77
2002,SWE,1370022.3
2002,UKR,41256972.27
2002,YUG,344516.07
2002,CAN,3113294.92
2002,CRI,1018328.54
2002,DMA,42981.36
2002,DOM,179286.01
2002,GTM,9102.67
2002,PAN,3113294.38
2002,USA,122816055.3
2002,VGB,1421443.26
2002,AUS,1439824.03
2002,FJI,763005
2002,MHL,8987
2002,NZL,54655.83
2002,WSM,2223
2002,ARG,894341.61
2002,BRA,14056482.33
2002,CHL,9962.18
2002,COL,27381.39
2002,ECU,654839.5
2002,URY,37760.52
2002,VEN,16229.04
2002,XXA,557950.08
2003,DZA,3696936
2003,EGY,163631.57
2003,ERI,15217
2003,GHA,166830.07
2003,KEN,100207
2003,LBR,587435.44
2003,MAR,48455.34
2003,SYC,98246
2003,ZAF,1066541.32
2003,ARE,56191122.34
2003,CHN,10111502.61
2003,CYP,14406622.76
2003,GEO,26968326.14
2003,HKG,2897519.37
2003,IDN,438000.85
2003,IND,6071632.55
2003,IRN,72052690.46
2003,IRQ,54550
2003,ISR,123827110.5
2003,JOR,8663
2003,JPN,11267815.11
2003,KAZ,6111374.3
2003,KGZ,8072
2003,KOR,3657137.93
2003,KWT,9043
2003,LBN,6253594.25
2003,LKA,322963.51
2003,MNG,9199
2003,MYS,884887.8
2003,NPL,2150.48
2003,PAK,146929.57
2003,PRK,54196.76
2003,SAU,22992.33
2003,SGP,1147881.97
2003,SYR,873610.31
2003,THA,393605.86
2003,TKM,48366.99
2003,TUR,31177247.01
2003,UZB,1320165.22
2003,VNM,1498983.47
2003,XXB,474271.65
2003,AND,20997.41
2003,AUT,5836571.81
2003,BGR,13469976.38
2003,BIH,207956
2003,BLR,7709986.1
2003,BLX,158752268.2
2003,CHE,44515244.09
2003,CZE,3988136.85
2003,DEU,77153347.18
2003,DNK,2250863.46
2003,ESP,6923270.33
2003,EST,453510.19
2003,FIN,2676398.48
2003,FRA,17589466.52
2003,GBR,56560485.29
2003,GIB,89323
2003,GRC,33127887.12
2003,HRV,321154.68
2003,HUN,3241274.01
2003,IRL,1229605.18
2003,ISL,183330.27
2003,ITA,50313081.06
2003,LTU,1330731.16
2003,LVA,1234605.74
2003,MDA,2525393.49
